id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38860445,L’ Attico di Andrea ai Musei Vaticani,21325219,Andrea,,I Centro Storico,41.90776,12.4579,Entire home/apt,129,1,13,2021-12-05,2.02,8,349,13,QA/2020/19201 DEL 07/04/2020
38861643,Vicino IFO  Appartamento Open Space  per 3 persone,297561116,Julienne,,IX Eur,41.79956,12.44927,Entire home/apt,60,7,0,,,1,364,0,
38863905,""" Gran suite 403""",297577135,Collection,,I Centro Storico,41.89928,12.49952,Private room,117,1,11,2021-10-30,0.69,5,365,7,
38864777,"Maison San Jojò, St. John S. apartment. Line A & C",83941254,Cinzia,,VII San Giovanni/Cinecittà,41.88634,12.51745,Entire home/apt,65,2,10,2021-10-01,0.40,1,8,2,ID 7622
38865221,Romolo House Vatican Museum,54598102,Luciana,,I Centro Storico,41.9072,12.44632,Entire home/apt,99,2,0,,,2,164,0,
38865416,Suite Oriani boutique hotel3 - Villa Borghese area,296563151,Alessandro,,II Parioli/Nomentano,41.92756,12.4832,Hotel room,130,1,0,,,4,319,0,AFF-001558-8
38866243,Suite Oriani boutique hotel2 - Villa Borghese area,296563151,Alessandro,,II Parioli/Nomentano,41.92649,12.48384,Hotel room,103,1,1,2019-11-13,0.04,4,167,0,AFF-001558-8
38866718,Suite Oriani boutique hotel1 - Villa Borghese area,296563151,Alessandro,,II Parioli/Nomentano,41.92834,12.48216,Hotel room,101,1,3,2021-07-02,0.13,4,162,2,AFF-001558-8
38869556,Loft hton,221314244,H Ton,,II Parioli/Nomentano,41.90037,12.52026,Entire home/apt,28,4,39,2021-11-20,1.47,9,68,21,atr-007234-4
38870254,Vatican View,297668062,Vania,,XIII Aurelia,41.90315,12.43702,Entire home/apt,69,2,18,2021-09-20,0.69,1,6,13,
38877120,"Adriano Imperatore,  comfort, calore e...Roma",122976121,Fabrizio,,I Centro Storico,41.90757,12.45543,Entire home/apt,80,5,1,2019-11-02,0.04,3,273,0,
38883092,Casa Vacanze Nine Holiday House,297789143,Nine,,VII San Giovanni/Cinecittà,41.85196,12.58904,Entire home/apt,80,1,29,2021-08-23,1.09,1,158,7,
38888223,Lhostin Colosseum 174,256462084,Alfonso,,I Centro Storico,41.88826,12.50018,Entire home/apt,76,4,8,2020-03-02,0.32,1,348,0,
38893050,Mosca's House,297863639,Giuseppe,,I Centro Storico,41.90928,12.4567,Entire home/apt,150,2,0,,,2,102,0,
38895552,Mosca's Room,297863639,Giuseppe,,I Centro Storico,41.90907,12.45449,Private room,95,1,0,,,2,102,0,
38914635,Suite Michelangelo 200 steps from Piazza di Spagna,20802755,Jean Frances,,I Centro Storico,41.90363,12.47517,Entire home/apt,87,2,19,2021-11-02,1.10,7,85,16,
38916323,"Dillo Suites , 7 pax apartment near to Colosseum",298052713,Dillo,,I Centro Storico,41.89361,12.51111,Entire home/apt,270,1,0,,,2,152,0,
38917060,Impronte di Viaggio...camera con vista,298056576,Dafne,,XI Arvalia/Portuense,41.84766,12.46038,Private room,40,1,12,2020-02-23,0.46,1,126,0,
38917587,La casa di Lucrezia,298062250,Manuela,,I Centro Storico,41.90937,12.4539,Entire home/apt,90,2,0,,,1,178,0,
38917985,APARTMENT UP TO 9 PEOPLE NEAR THE COLOSSEUM,13461129,Luca,,VII San Giovanni/Cinecittà,41.88466,12.51317,Entire home/apt,125,2,4,2021-11-02,0.17,4,217,2,
38922177,💙Trastevere Heart Home💙,4453257,"Marco, Carlotta, Angelo & Friends",,I Centro Storico,41.88979,12.47115,Entire home/apt,62,1,39,2021-09-11,1.50,31,353,18,ATR-008424-6
38924992,New Cosy Apartment in Monti area,639128,Vicky,,I Centro Storico,41.89585,12.49351,Entire home/apt,97,2,6,2020-01-28,0.23,4,0,0,
38926942,DILLO SUITES - DELUXE ROOM,298052713,Dillo,,I Centro Storico,41.89323,12.51081,Private room,73,1,0,,,2,223,0,
38929185,Balcony Apartment with Vatican View,100619909,Ludovica,,I Centro Storico,41.9046,12.46659,Entire home/apt,169,1,67,2021-10-25,2.57,9,302,12,
38929453,Casa Tommasina-Terrace apartment city centre,37758460,Carlo,,I Centro Storico,41.8927,12.47646,Entire home/apt,200,3,18,2021-11-28,0.69,1,86,14,7709
38930597,Palazzo Pamphili Lecca di Guevara,298172331,Matteo,,I Centro Storico,41.89603,12.46825,Entire home/apt,154,1,67,2021-11-27,2.55,1,86,34,
38937922,My Sweet Rhome,298238504,Kerssty,,I Centro Storico,41.90717,12.4593,Entire home/apt,140,1,0,,,1,362,0,
38939103,Alloggio turistico Roberta San Pietro,14330692,Roberta,,XIII Aurelia,41.8947,12.45187,Private room,63,2,2,2021-11-04,0.08,1,169,1,
38944280,COVID19  health and safety certificate,204998529,LA Casa Dell'Arte,,I Centro Storico,41.89886,12.50255,Private room,31,1,1,2021-07-28,0.22,7,0,1,
38945582,TRIDENTE APARTMENT ★★★★★,298282576,Vanessa & Francesca,,I Centro Storico,41.90923,12.47519,Entire home/apt,132,2,19,2021-11-22,0.75,1,283,16,
38948930,The Rica House,298312311,Federica,,I Centro Storico,41.87667,12.47198,Entire home/apt,72,2,0,,,1,179,0,ATR-009017-5
38952277,Glamorous Luxury Suite in Rome's Heart,100619909,Ludovica,,I Centro Storico,41.90453,12.46512,Entire home/apt,139,1,33,2020-11-29,1.24,9,287,0,
38959126,Camera uso Singola Garbatella San Paolo,11294892,Daniela,,VIII Appia Antica,41.8576,12.48277,Private room,85,1,0,,,3,365,0,
38966478,"""VICOLO 32""  cozy apt in the heart of city center",246317,Andrea,,I Centro Storico,41.89491,12.47631,Entire home/apt,104,2,37,2021-11-18,1.46,1,265,22,ATR-008737-4
38968223,Luxurious stay in Rome,71694136,Keane,,I Centro Storico,41.91347,12.45271,Private room,53,2,0,,,1,89,0,
38973448,"Colosseum-Monti Penthouse 4BR, Panoramic Terrace's",60864024,Fernando,,I Centro Storico,41.89765,12.4965,Entire home/apt,350,3,10,2021-08-27,0.40,2,231,2,
38973968,"Piazza Navona Penthouse, nel cuore di Roma!",3873669,Gianluca E Flavia,,I Centro Storico,41.90033,12.47263,Entire home/apt,75,2,82,2021-11-21,3.09,6,227,30,
38978261,Teo's,35545732,Arnaldo Maria,,III Monte Sacro,41.94256,12.54941,Private room,19,1,0,,,1,0,0,
38987623,MONOLOCALE AL CENTRO DI ROMA,55392980,Maurizio,,I Centro Storico,41.8966,12.4971,Entire home/apt,70,7,0,,,2,359,0,
38988554,Boutique Domus Gianicolo View Terrace Smartworking,298724229,Paolo&Franziska,,I Centro Storico,41.89658,12.46556,Entire home/apt,110,3,30,2021-10-27,1.13,1,240,12,
38989614,Incantevole giardino al Colosseo,298732108,Natalia,,I Centro Storico,41.89391,12.48913,Entire home/apt,110,3,12,2021-11-10,0.47,1,139,1,
38991809,Art & Color Rome Midtown,37293939,Andrea,,II Parioli/Nomentano,41.90901,12.52091,Entire home/apt,129,1,38,2021-11-21,1.60,1,50,14,ATR-008433-6
38993756,Glamourous apartment near Piazza Navona,4630906,Andrea,,I Centro Storico,41.89874,12.46868,Entire home/apt,69,1,46,2021-11-21,1.75,6,208,27,
38993882,D&D Guest House,293304838,Michele,,I Centro Storico,41.9063,12.49691,Entire home/apt,70,2,5,2020-03-05,0.21,1,37,0,
38998883,JB HOME,8549201,Jacopo,,II Parioli/Nomentano,41.89946,12.51371,Entire home/apt,55,1,1,2019-11-03,0.04,1,0,0,
38999328,monti tiburtini 1 stanza,54958338,Soledad,,IV Tiburtina,41.91693,12.53829,Private room,28,1,19,2021-09-16,0.72,12,358,2,
38999630,CK rooms,470889,Federica,,I Centro Storico,41.8928,12.50603,Private room,56,2,2,2019-10-22,0.08,6,268,0,
39002659,"A PIAZZA DI SPAGNA, CASA ELEGANTE E RAFFINATA",298869730,Luca,,I Centro Storico,41.90475,12.48042,Entire home/apt,159,1,9,2021-10-30,0.37,1,343,6,
39010840,"Ostia, Rome by the sea",164256323,Cinzia,,X Ostia/Acilia,41.73335,12.29037,Private room,18,3,18,2021-11-14,0.68,1,319,10,
39013919,Rione Monti & Fori Imperiali Elegant Apartment x3,96122546,CleanBnB Team,,I Centro Storico,41.89449,12.48831,Entire home/apt,78,2,22,2021-11-22,0.84,111,290,9,ATR-009745-4
39016118,Cozy and modern in the heart of Trastevere - AC/Wi-Fi,9549387,Emanuele,,I Centro Storico,41.8868,12.47122,Entire home/apt,121,3,39,2021-12-06,1.50,19,339,23,
39016973,Beautiful Apartment Re Di Roma,83236852,Lorenzo,,VII San Giovanni/Cinecittà,41.87806,12.50789,Entire home/apt,90,2,14,2020-02-26,0.54,1,216,0,
39018027,A View on Trastevere,32678313,Marino,,I Centro Storico,41.88712,12.47175,Entire home/apt,139,2,22,2021-11-09,0.87,2,123,18,QA201900056750
39018878,Spacious and elegant room with wonderful view,298994376,Stefania,,VII San Giovanni/Cinecittà,41.87519,12.53482,Private room,210,1,0,,,1,87,0,
39021278,Space + Charme in the heart of Rome 3beds 3baths,294288125,Sabrina,,I Centro Storico,41.90367,12.46202,Entire home/apt,255,3,0,,,1,156,0,
39025495,Sonder | Merulana Apartments | Bright 1BR,224869116,Sonder (Rome),,I Centro Storico,41.89047,12.50335,Entire home/apt,95,2,26,2021-08-15,1.03,60,140,11,
39025923,Stylish Apartment near Piazza Navona,4630906,Andrea,,I Centro Storico,41.89931,12.47057,Entire home/apt,129,2,89,2021-11-24,3.39,6,212,47,
39026940,Sonder at Piazza di Spagna | One-Bedroom Apartment,224869116,Sonder (Rome),,I Centro Storico,41.90524,12.48058,Entire home/apt,85,2,9,2021-09-18,0.34,60,71,2,
39027086,Appartamento : IL RIFUGIO,247050783,Appartamento Angelo E Desiree,,XV Cassia/Flaminia,42.08335,12.3464,Entire home/apt,76,3,10,2021-11-01,0.40,2,169,4,
